Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;01 Andalucía;Total;2022;19,02
Ambos sexos;01 Andalucía;Total;2021;21,67
Ambos sexos;01 Andalucía;Total;2020;22,28
Ambos sexos;01 Andalucía;Total;2019;21,19
Ambos sexos;02 Aragón;Total;2022;9,40
Ambos sexos;02 Aragón;Total;2021;10,16
Ambos sexos;02 Aragón;Total;2020;11,70
Ambos sexos;02 Aragón;Total;2019;10,03
Ambos sexos;03 Asturias, Principado de;Total;2022;12,64
Ambos sexos;03 Asturias, Principado de;Total;2021;12,53
Ambos sexos;03 Asturias, Principado de;Total;2020;14,12
Ambos sexos;03 Asturias, Principado de;Total;2019;14,19
Ambos sexos;04 Balears, Illes;Total;2022;10,90
Ambos sexos;04 Balears, Illes;Total;2021;14,78
Ambos sexos;04 Balears, Illes;Total;2020;16,14
Ambos sexos;04 Balears, Illes;Total;2019;11,74
Ambos sexos;05 Canarias;Total;2022;17,59
Ambos sexos;05 Canarias;Total;2021;23,18
Ambos sexos;05 Canarias;Total;2020;22,62
Ambos sexos;05 Canarias;Total;2019;20,49
Ambos sexos;06 Cantabria;Total;2022;9,41
Ambos sexos;06 Cantabria;Total;2021;11,46
Ambos sexos;06 Cantabria;Total;2020;12,14
Ambos sexos;06 Cantabria;Total;2019;10,28
Ambos sexos;07 Castilla y León;Total;2022;9,75
Ambos sexos;07 Castilla y León;Total;2021;11,40
Ambos sexos;07 Castilla y León;Total;2020;12,06
Ambos sexos;07 Castilla y León;Total;2019;11,63
Ambos sexos;08 Castilla - La Mancha;Total;2022;14,29
Ambos sexos;08 Castilla - La Mancha;Total;2021;15,64
Ambos sexos;08 Castilla - La Mancha;Total;2020;17,68
Ambos sexos;08 Castilla - La Mancha;Total;2019;16,21
Ambos sexos;09 Cataluña;Total;2022;9,68
Ambos sexos;09 Cataluña;Total;2021;11,56
Ambos sexos;09 Cataluña;Total;2020;12,63
Ambos sexos;09 Cataluña;Total;2019;11,03
Ambos sexos;10 Comunitat Valenciana;Total;2022;13,18
Ambos sexos;10 Comunitat Valenciana;Total;2021;15,92
Ambos sexos;10 Comunitat Valenciana;Total;2020;16,19
Ambos sexos;10 Comunitat Valenciana;Total;2019;14,11
Ambos sexos;11 Extremadura;Total;2022;17,28
Ambos sexos;11 Extremadura;Total;2021;19,53
Ambos sexos;11 Extremadura;Total;2020;21,80
Ambos sexos;11 Extremadura;Total;2019;21,53
Ambos sexos;12 Galicia;Total;2022;11,02
Ambos sexos;12 Galicia;Total;2021;11,65
Ambos sexos;12 Galicia;Total;2020;12,02
Ambos sexos;12 Galicia;Total;2019;11,76
Ambos sexos;13 Madrid, Comunidad de;Total;2022;11,22
Ambos sexos;13 Madrid, Comunidad de;Total;2021;11,55
Ambos sexos;13 Madrid, Comunidad de;Total;2020;12,49
Ambos sexos;13 Madrid, Comunidad de;Total;2019;10,62
Ambos sexos;14 Murcia, Región de;Total;2022;13,26
Ambos sexos;14 Murcia, Región de;Total;2021;14,28
Ambos sexos;14 Murcia, Región de;Total;2020;16,18
Ambos sexos;14 Murcia, Región de;Total;2019;14,68
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2022;9,57
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2021;10,59
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2020;10,06
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019;8,24
Ambos sexos;16 País Vasco;Total;2022;8,60
Ambos sexos;16 País Vasco;Total;2021;9,82
Ambos sexos;16 País Vasco;Total;2020;9,54
Ambos sexos;16 País Vasco;Total;2019;9,15
Ambos sexos;17 Rioja, La;Total;2022;9,51
Ambos sexos;17 Rioja, La;Total;2021;11,52
Ambos sexos;17 Rioja, La;Total;2020;10,80
Ambos sexos;17 Rioja, La;Total;2019;9,96
Ambos sexos;18 Ceuta;Total;2022;28,40
Ambos sexos;18 Ceuta;Total;2021;26,65
Ambos sexos;18 Ceuta;Total;2020;24,53
Ambos sexos;18 Ceuta;Total;2019;25,84
Ambos sexos;19 Melilla;Total;2022;21,56
Ambos sexos;19 Melilla;Total;2021;19,81
Ambos sexos;19 Melilla;Total;2020;23,62
Ambos sexos;19 Melilla;Total;2019;26,95
