Comunidades y Ciudades Autónomas;Sexo;Nivel de formación alcanzado;Periodo;Total
01 Andalucía;Ambos sexos;Analfabetos;2023T2;152,8
01 Andalucía;Ambos sexos;Analfabetos;2023T1;148,3
01 Andalucía;Ambos sexos;Analfabetos;2022T4;158,2
01 Andalucía;Ambos sexos;Analfabetos;2022T3;162,3
01 Andalucía;Ambos sexos;Analfabetos;2022T2;165,0
01 Andalucía;Ambos sexos;Analfabetos;2022T1;174,0
01 Andalucía;Ambos sexos;Analfabetos;2021T4;170,8
01 Andalucía;Ambos sexos;Analfabetos;2021T3;166,4
01 Andalucía;Ambos sexos;Analfabetos;2021T2;164,5
01 Andalucía;Ambos sexos;Analfabetos;2021T1;171,5
01 Andalucía;Ambos sexos;Analfabetos;2020T4;186,0
01 Andalucía;Ambos sexos;Analfabetos;2020T3;160,9
01 Andalucía;Ambos sexos;Analfabetos;2020T2;178,0
01 Andalucía;Ambos sexos;Analfabetos;2020T1;188,4
01 Andalucía;Ambos sexos;Analfabetos;2019T4;175,4
01 Andalucía;Ambos sexos;Analfabetos;2019T3;178,3
01 Andalucía;Ambos sexos;Analfabetos;2019T2;181,5
01 Andalucía;Ambos sexos;Analfabetos;2019T1;179,0
01 Andalucía;Ambos sexos;Analfabetos;2018T4;180,8
01 Andalucía;Ambos sexos;Analfabetos;2018T3;192,6
01 Andalucía;Ambos sexos;Analfabetos;2018T2;196,2
01 Andalucía;Ambos sexos;Analfabetos;2018T1;201,5
01 Andalucía;Ambos sexos;Analfabetos;2017T4;208,4
01 Andalucía;Ambos sexos;Analfabetos;2017T3;215,1
01 Andalucía;Ambos sexos;Analfabetos;2017T2;219,5
01 Andalucía;Ambos sexos;Analfabetos;2017T1;216,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2023T2;467,4
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2023T1;456,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2022T4;450,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2022T3;458,7
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2022T2;452,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2022T1;474,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2021T4;464,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2021T3;470,3
